company_name,funding_citations
cardurion pharmaceuticals llc,https://www.businesswire.com/news/home/20240716908637/en/Cardurion-Pharmaceuticals-Announces-%24260-Million-Series-B-Financing-to-Advance-Its-Pipeline-of-Innovative-Medicines-for-Cardiovascular-Diseases
sonoma biotherapeutics inc,https://www.biospace.com/employer/2008694/sonoma-biotherapeutics
suzhou connect biopharmaceuticals ltd,https://www.globenewswire.com/news-release/2023/04/11/2644919/0/en/Connect-Biopharma-Reports-Full-Year-2022-Financial-Results-and-Provides-Business-Update.html
betagenon ab,https://www.biospace.com/amplifier-launches-to-bring-first-ampk-activator-for-obesity-to-clinic
alnylam pharmaceuticals inc,https://en.wikipedia.org/wiki/Alnylam_Pharmaceuticals
vironexis biotherapeutics inc,https://www.biospace.com/press-releases/vironexis-biotherapeutics-launches-with-fda-clearance-of-ind-application-for-first-ever-clinical-trial-of-an-aav-delivered-cancer-immunotherapy
alyssum therapeutics inc,https://www.crunchbase.com/organization/alyssum-therapeutics
ixchelsis ltd,https://www.cbinsights.com/company/ixchelsis
bobcatbio inc,https://www.fundz.net/fundings/sirpant-immunotherapeutics-funding-round-f50f9b
biotyx medical (shenzhen) co ltd,https://www.prnewswire.com/apac/news-releases/lifetech-scientific-corporation-announced-2023-annual-results-international-business-achieved-a-robust-growth-innovation-at-the-core-to-drive-the-solid-development-302105910.html
jhm biopharmaceutical (hangzhou) co ltd,https://www.marketscreener.com/quote/stock/TONGHUA-DONGBAO-PHARMACEU-6497997/news/JHM-Biopharmaceutical-Co-Ltd-announced-that-it-expects-to-receive-CNY-100-million-in-funding-from-46730491/
cortendo ab,https://www.locustwalk.com/cortendo-ab-raises-up-to-27-5m-in-additional-private-placement-with-leading-u-s-and-eu-healthcare-investors/
metriopharm ag,https://www.swissbiotech.org/listing/metriopharm-ag-strengthens-equity-by-chf-27-5-m/
arctic therapeutics ehf,https://globalgenes.org/raredaily/arctic-therapeutics-announces-27-6-million-financing/
nerre therapeutics ltd,https://uk.linkedin.com/company/nerre-therapeutics-ltd
synendos therapeutics ag,https://www.synendos.com/
genelux corp,https://finance.yahoo.com/quote/GNLX/
bill & melinda gates medical research institute,https://en.wikipedia.org/wiki/Bill_%26_Melinda_Gates_Medical_Research_Institute
mural oncology inc,https://www.crunchbase.com/organization/mural-oncology
springworks therapeutics inc,https://www.linkedin.com/company/springworks-therapeutics
arca biopharma inc,https://www.biospace.com/press-releases/oruka-therapeutics-announces-closing-of-merger-with-arca-biopharma-and-previously-announced-private-placement-of-275-million
pardes biosciences inc,https://www.foresitecapital.com/pardes-biosciences-legend/
ventyx biosciences inc,https://www.crunchbase.com/organization/ventyx-biosciences
selecxine inc,http://www.selecxine.com/eng/about.php
antabio sas,https://www.crunchbase.com/organization/antabio
jacobio pharmaceuticals group co ltd,https://www.linkedin.com/company/jacobio-pharma
oncoresponse inc,https://www.prnewswire.com/news-releases/oncoresponse-awarded-13-million-in-funding-from-cprit-and-raises-14-million-in-added-funds-from-investors-to-advance-cancer-immunotherapy-301828055.html
guangzhou bebetter medicine technology co ltd,https://www.marketscreener.com/quote/stock/GUANGZHOU-YUEXIU-CAPITAL--6497848/news/Guangzhou-Bebetter-Medicine-Technology-Co-Ltd-announced-that-it-has-received-28-05-million-in-fu-33855420/
march biosciences,https://www.globenewswire.com/news-release/2024/10/23/2967726/0/en/March-Biosciences-Closes-Oversubscribed-28-4-Million-Series-A-Financing.html
lipocine inc,https://www.linkedin.com/company/lipocine-inc-
spyryx biosciences inc (inactive),https://www.cbinsights.com/company/spyryx-biosciences
sotio biotech as,https://www.ppf.eu/en/our-companies/sotio
lb pharmaceuticals inc,https://finance.yahoo.com/quote/LBRX/#:~:text=LB%20Pharmaceuticals%20raises%20$285%20million%20in%20US%20IPO
pliant therapeutics inc,https://www.crunchbase.com/organization/pliant-therapeutics
mineralys therapeutics inc,https://www.linkedin.com/company/mineralys-therapeutics-inc
acadia pharmaceuticals inc,https://www.linkedin.com/company/acadia-pharmaceuticals
